subregion,subregion_name,year,total_pixel_count,total_area_ha
15,Northern Rockies,2007,677721,60994.89
15,Northern Rockies,2008,530840,47775.6
15,Northern Rockies,2009,569570,51261.3
15,Northern Rockies,2010,664256,59783.04
15,Northern Rockies,2011,1097103,98739.27
15,Northern Rockies,2012,1300029,117002.61
15,Northern Rockies,2013,604267,54384.03
15,Northern Rockies,2014,618938,55704.42
15,Northern Rockies,2015,355592,32003.28
15,Northern Rockies,2016,662584,59632.56
15,Northern Rockies,2017,1115142,100362.78
15,Northern Rockies,2018,587733,52895.97
15,Northern Rockies,2019,710640,63957.6
15,Northern Rockies,2020,1365985,122938.65
15,Northern Rockies,2021,452078,40687.02
15,Northern Rockies,2022,590367,53133.03
15,Northern Rockies,2023,442670,39840.3
15,Northern Rockies,2024,299483,26953.47
15,Northern Rockies,2025,89754,8077.86
4,Cascades,1997,322045,28984.05
4,Cascades,1998,380593,34253.37
4,Cascades,1999,396903,35721.27
4,Cascades,2000,676892,60920.28
4,Cascades,2001,724671,65220.39
4,Cascades,2002,937798,84401.82
4,Cascades,2003,1729284,155635.56
4,Cascades,2004,1429278,128635.02
4,Cascades,2005,1611125,145001.25
4,Cascades,2006,1823033,164072.97
4,Cascades,2007,2045001,184050.09
4,Cascades,2008,1871257,168413.13
4,Cascades,2009,1923247,173092.23
4,Cascades,2010,1541246,138712.14
4,Cascades,2011,1342785,120850.65
4,Cascades,2012,1099944,98994.96
4,Cascades,2013,942124,84791.16
4,Cascades,2014,745195,67067.55
4,Cascades,2015,673957,60656.13
4,Cascades,2016,645515,58096.35
4,Cascades,2017,596100,53649.0
4,Cascades,2018,387074,34836.66
4,Cascades,2019,599884,53989.56
4,Cascades,2020,194481,17503.29
4,Cascades,2021,448888,40399.92
4,Cascades,2022,2558705,230283.45
4,Cascades,2023,2924448,263200.32
4,Cascades,2024,1371773,123459.57
4,Cascades,2025,456873,41118.57
77,North Cascades,1997,410885,36979.65
77,North Cascades,1998,259680,23371.2
77,North Cascades,1999,329052,29614.68
77,North Cascades,2000,374221,33679.89
77,North Cascades,2001,910279,81925.11
77,North Cascades,2002,1175458,105791.22
77,North Cascades,2003,1279935,115194.15
77,North Cascades,2004,1428464,128561.76
77,North Cascades,2005,2430960,218786.4
77,North Cascades,2006,2490812,224173.08
77,North Cascades,2007,2474548,222709.32
77,North Cascades,2008,3010612,270955.08
77,North Cascades,2009,4087667,367890.03
77,North Cascades,2010,2211492,199034.28
77,North Cascades,2011,2041199,183707.91
77,North Cascades,2012,2104935,189444.15
77,North Cascades,2013,968294,87146.46
77,North Cascades,2014,916901,82521.09
77,North Cascades,2015,427073,38436.57
77,North Cascades,2016,569249,51232.41
77,North Cascades,2017,845875,76128.75
77,North Cascades,2018,400160,36014.4
77,North Cascades,2019,772811,69552.99
77,North Cascades,2020,220875,19878.75
77,North Cascades,2021,601216,54109.44
77,North Cascades,2022,917531,82577.79
77,North Cascades,2023,495189,44567.01
77,North Cascades,2024,808700,72783.0
77,North Cascades,2025,922940,83064.6
78,Klamath Mountains/California High North Coast Range,1997,9915,892.35
78,Klamath Mountains/California High North Coast Range,1998,3613,325.17
78,Klamath Mountains/California High North Coast Range,1999,12817,1153.53
78,Klamath Mountains/California High North Coast Range,2000,17486,1573.74
78,Klamath Mountains/California High North Coast Range,2001,28051,2524.59
78,Klamath Mountains/California High North Coast Range,2002,284250,25582.5
78,Klamath Mountains/California High North Coast Range,2003,340458,30641.22
78,Klamath Mountains/California High North Coast Range,2004,213318,19198.62
78,Klamath Mountains/California High North Coast Range,2005,114908,10341.72
78,Klamath Mountains/California High North Coast Range,2006,31688,2851.92
78,Klamath Mountains/California High North Coast Range,2007,65761,5918.49
78,Klamath Mountains/California High North Coast Range,2008,69386,6244.74
78,Klamath Mountains/California High North Coast Range,2009,44387,3994.83
78,Klamath Mountains/California High North Coast Range,2010,95653,8608.77
78,Klamath Mountains/California High North Coast Range,2011,81615,7345.35
78,Klamath Mountains/California High North Coast Range,2012,47132,4241.88
78,Klamath Mountains/California High North Coast Range,2013,55843,5025.87
78,Klamath Mountains/California High North Coast Range,2014,52091,4688.19
78,Klamath Mountains/California High North Coast Range,2015,119731,10775.79
78,Klamath Mountains/California High North Coast Range,2016,280544,25248.96
78,Klamath Mountains/California High North Coast Range,2017,103911,9351.99
78,Klamath Mountains/California High North Coast Range,2018,76823,6914.07
78,Klamath Mountains/California High North Coast Range,2019,280258,25223.22
78,Klamath Mountains/California High North Coast Range,2020,253135,22782.15
78,Klamath Mountains/California High North Coast Range,2021,415168,37365.12
78,Klamath Mountains/California High North Coast Range,2022,2911086,261997.74
78,Klamath Mountains/California High North Coast Range,2023,1801372,162123.48
78,Klamath Mountains/California High North Coast Range,2024,707411,63666.99
78,Klamath Mountains/California High North Coast Range,2025,545198,49067.82
9,Eastern Cascades Slopes and Foothills,1997,1154469,103902.21
9,Eastern Cascades Slopes and Foothills,1998,2673560,240620.4
9,Eastern Cascades Slopes and Foothills,1999,1190388,107134.92
9,Eastern Cascades Slopes and Foothills,2000,1617265,145553.85
9,Eastern Cascades Slopes and Foothills,2001,1334934,120144.06
9,Eastern Cascades Slopes and Foothills,2002,1010074,90906.66
9,Eastern Cascades Slopes and Foothills,2003,1441412,129727.08
9,Eastern Cascades Slopes and Foothills,2004,1859776,167379.84
9,Eastern Cascades Slopes and Foothills,2005,2381142,214302.78
9,Eastern Cascades Slopes and Foothills,2006,2315831,208424.79
9,Eastern Cascades Slopes and Foothills,2007,2335591,210203.19
9,Eastern Cascades Slopes and Foothills,2008,2735889,246230.01
9,Eastern Cascades Slopes and Foothills,2009,1957375,176163.75
9,Eastern Cascades Slopes and Foothills,2010,1812745,163147.05
9,Eastern Cascades Slopes and Foothills,2011,963194,86687.46
9,Eastern Cascades Slopes and Foothills,2012,1221944,109974.96
9,Eastern Cascades Slopes and Foothills,2013,1015969,91437.21
9,Eastern Cascades Slopes and Foothills,2014,1255868,113028.12
9,Eastern Cascades Slopes and Foothills,2015,1060616,95455.44
9,Eastern Cascades Slopes and Foothills,2016,917901,82611.09
9,Eastern Cascades Slopes and Foothills,2017,704126,63371.34
9,Eastern Cascades Slopes and Foothills,2018,1003039,90273.51
9,Eastern Cascades Slopes and Foothills,2019,707898,63710.82
9,Eastern Cascades Slopes and Foothills,2020,245517,22096.53
9,Eastern Cascades Slopes and Foothills,2021,554001,49860.09
9,Eastern Cascades Slopes and Foothills,2022,2544545,229009.05
9,Eastern Cascades Slopes and Foothills,2023,4088283,367945.47
9,Eastern Cascades Slopes and Foothills,2024,2157197,194147.73
9,Eastern Cascades Slopes and Foothills,2025,829108,74619.72
